,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
num__is_gamesvideo,-0.028508562254263462,-0.11231344870589287,0.034423542668240346,-0.05935099242607657,-0.054942561205691735,0.02725505168916655,0.05895822676701548,-0.2977919048546056,0.44785607241871866,-0.20579823664517505,0.22211632401216602,-0.28252379497922675,-0.29111157061635073,0.0763404974529177,-0.000256972505774113,-0.14557079605120968,0.35593896401535624,0.11601586633052374,-0.34025496274599387,-0.20029007083015704,0.17718873908039595,0.021324249016379002,0.031027482564993866,-0.010770767320232306,-0.010438525644657992
num__is_ecommerce,-0.06786061139166197,-0.03869001194763153,-0.02725406972031181,-0.002614424147299949,0.040999477711955834,-0.0750452824548778,-0.13222229048338544,0.05947629321071127,-0.01603618163815123,-0.03264704892997654,0.09718299782787639,-0.020865301429453004,-0.09331473700439681,-0.3078150997141104,0.8461411956606119,0.03307815610964038,-0.23298813016534814,0.07581926098893949,0.009925538655946779,-0.06982924000286228,0.06675497418331058,0.1589591251351204,-0.02705702361862426,0.0484318836172713,-0.019270530616164936
num__is_biotech,0.004160783543696511,0.15488072109040943,0.020143373913302988,-0.10622451697930747,-0.07979909001269367,-0.16007774829170132,0.05036306609399097,-0.18034165548584147,0.07981031846671595,0.5323983344215782,-0.0627848295487427,-0.24612008101965238,0.049344475577960054,0.029829170226542388,0.10828670115134308,-0.3456589186008974,-0.05192401008276581,0.04259450129148989,-0.10793315212359034,0.49782830072433876,-0.20046618147603093,-0.22678908475221438,-0.016299536394639744,0.00409131129028198,0.020614896389093192
num__is_consulting,0.03374770141231309,0.0032279268687431216,-0.045497122306518104,-0.05180693499595099,0.21726911502427065,0.0997031025142609,0.14388333215909752,0.024828122608476555,-0.048801164536553844,0.019587741338341284,-0.29211137875859916,-0.3306360190504727,0.13155824414792314,-0.15514057568955128,0.18183897244191158,0.24450090091502555,0.6172191433193931,-0.31736708276373604,0.1750052751299734,0.03135818939158525,-0.19374875299293942,0.07540223337543528,-0.09372395200410996,-0.049594649666119615,-0.06742415174416183
num__is_othercategory,0.007191251902999472,0.14898338194065325,0.10055946736499526,-0.10158509440547064,-0.24035849013688965,0.4550637594234177,-0.13580382532577073,0.4621352782862869,-0.05186544165857059,-0.2562803821329989,-0.18939237658954808,0.03686349838234361,-0.05843854728243708,0.11671753372727614,-0.014372961808787709,-0.17285549863687794,0.05081307633213759,0.08024521106477488,0.08329809327584795,0.1389426484585524,0.010528956114839812,-0.0843985346318739,0.04235150046558994,0.02272216446897554,-0.024296496616463315
num__has_vc,0.09384370963378205,0.20696734935280625,-0.05595462006850976,-0.05432872682060781,0.2336412096122704,-0.02802971254804214,-0.27894107754702485,-0.05721694440253717,-0.0724519660441568,-0.17885524962995977,-0.07882542083008014,-0.366863833538811,0.026832723206927468,-0.00503371273994243,-0.06910122675680191,0.4309782394634426,-0.16244631949564597,0.30802249113023916,-0.12576675782626417,0.07936960852570629,0.061481009836456296,-0.30439957336786394,0.06098697620614275,0.010184275326200035,-0.1254841441913862
num__has_angel,-0.18649349893421802,-0.2350696195622272,-0.056566863291839894,0.08398931135469667,-0.04229354084672179,0.11858654870564377,-0.24035112678884554,-0.164255640457285,-0.11897941031412997,-0.04931670659246605,0.08170662843797878,-0.0001528281768333299,0.24586323637045535,-0.1335962076007909,-0.10288361034890388,-0.11612385849762714,0.15099588428383348,0.0556225711678847,0.026471205559172022,0.40428139985363365,0.279468267814911,0.43698422732455233,0.002667367354868747,0.09250496983555037,0.19097394930913095
num__has_rounda,0.13164921420900472,-0.2520149658208803,-0.013198899710854509,-0.13199936363752937,0.1382507518455545,-0.1162084797862125,0.24588184843187,0.22138799016003244,0.10306256727718416,0.10652029212218556,-0.11203804789452368,0.04272025924067283,-0.2515029720768139,0.109613868843146,0.06240084507401188,-0.03999727846535348,-0.09048829987272042,-0.23772640969552525,0.1438955897570797,0.1196320488723113,0.5035506173637511,-0.15178034214979422,0.04492373959510142,-0.3697130986834133,-0.0014261700426114322
num__has_roundb,0.2613950677776678,-0.027773878796762838,-0.01913941464479003,-0.2840060738980877,0.09075031778186717,-0.19597547835288237,0.09243065836255525,0.19009959665815124,0.1144828176854636,-0.022732602701692032,0.02864322841647067,0.032393322719830586,-0.14021205037828405,0.11735876268977505,-0.08722810084368206,-0.10454006143628902,-0.06774152831809303,0.03992053233981351,0.024094754488976515,0.011926078955899715,-0.2572111471676993,0.4195704862461919,-0.19285231195855015,0.32559140840205547,-0.4315371242813137
num__has_roundc,0.25392787050189486,0.07278293299546215,-0.02235130944870485,-0.30491767193327773,0.008651050859413166,0.10239883174356629,-0.07431964570743724,-0.0004346762765131626,0.023635447760353475,0.022248641655672106,0.0740704374271226,0.029991539837805278,0.06513536512817758,-0.28769829727750607,-0.06935544420629293,-0.15913149546124233,-0.05451654307553636,0.03628713277558455,-0.0636276955919353,-0.23418139823575532,-0.37597999238023,0.17167032906202906,0.21764401616073076,-0.46928082745764543,0.3349884846490389
num__has_roundd,0.19912018220090988,0.09299539131030901,-0.03250678131518813,-0.11987472502660122,-0.12036350538994506,0.12107491128620838,-0.17065323374575778,-0.19860077503925952,-0.12910169911543196,-0.009666479721917599,0.24818971618883373,0.09872956839046682,0.068873743864965,-0.320931492873837,-0.037106805487782855,-0.24064351809664766,0.07149102417345916,-0.2942529693952371,0.12106317547333408,-0.21357510720806014,0.15744942115969496,-0.39439284638565547,-0.3730130166883911,0.16988606484580163,-0.15584394990680586
num__avg_participants,0.10042147347894334,0.039268854613231444,0.033080635699556576,-0.11581111359870655,-0.41662472629304015,0.1825222196159729,0.05991363892146013,-0.13995495651818407,-0.23143837998136868,0.22326541367969122,0.15417520340780635,0.18397533066872399,0.002005089923198657,0.026475376904907436,0.08426911371339513,0.3442953541547853,0.10887570620675725,-0.11570805223702849,-0.2736225249396141,0.09389332442969917,0.08310397680730204,0.1111077729852875,0.2783390724530453,-0.18636075139247663,-0.4457773708149677
num__is_top500,0.24501001970145586,0.00921154625261651,-0.00046243196670622523,-0.2397080968897864,-0.20619679084314488,-0.02520451683748584,0.13044604943883567,0.0031679957354306355,-0.17279858422859115,-0.006142951579350954,0.007790821722362711,0.06236152294557902,-0.1088633850691958,0.1955064737381164,0.091011136011193,0.31025975500263736,0.03684490553177175,0.025994046781758717,-0.26209618264173173,0.10629240273196125,0.03751751051825678,0.053363064284828565,-0.46509677028702723,0.15807031517002948,0.5275627906963083
num__has_milestone,0.1858446343835992,-0.30226371932051266,-0.09056492128629014,0.2964132283661382,-0.05781686093993714,0.008426030624200552,-0.04891737241392618,-0.01370469851826872,-0.10162443891995043,-0.1695673390893888,0.07499709308332317,-0.004790672559610208,0.07228110176623509,0.09488279782098594,0.08197196847726652,-0.08639796254601158,0.0019425127750808194,0.1497747353808775,-0.12341071458192218,0.14375293280483106,-0.2478808264907434,-0.1778528754895775,-0.23317808274907487,-0.2592945305646678,-0.20283578252937648
